Name,Ingredients
Dhaba Dal Fry (Dhaba Dal Fry),"tomato, star anees, white urad dal, onion, green chillies, salt, coriander leaves finely, coriander powder, arhar dal, elaichi, rye, cassia, asafoetida, red chilli powder, green chillies salted, water, large cardamom, turmeric powder, ghee, ginger garlic paste, chana dal, masoor dal, cumin seeds, yellow moong dal"
Cucumber Tomato Corn Peanut Salad With Lemon,"tomato, salt, green chilli, coriander leaves, onion, lemon, peanuts, sweet corn, cucumber"
Bharli Bhendi - Maharashtrian Stuffed Bhindi,"salt, kashmiri red chilli powder, coconut, mustard seeds, asafoetida, red chilli powder bydagi red powder, poppy seeds, bhindi, tamarind, turmeric powder, sunflower oil"
Cucumber Ginger Lemonade,"salt, ginger, aerated water water, lemon, cucumber, mint leaves"
Pyaz Wali Bhindi | Bhindi Do Pyaza - Okra Onion Stir Fry,"salt, mustard oil sunflower oil, amchur, bay leaf, ajwain, red chilli powder, cinnamon stick, onion, coriander powder, bhindi, turmeric powder"
Achari Lachha Paratha-Spicy Flaky Bread,"salt, wheat flour, ghee, punjabi mango pickle, water knead the dough, sunflower oil"
Whole Wheat Strawberry Banana Muffins,"gram wheat flour, baking powder, bananas, sunflower oil, nutmeg powder, milk, baking soda, strawberries, vanilla, eggs, gram caster sugar"
Sindhi Pakwan - Crisp Puri,"salt, wheat flour, ghee, ajwain, cumin seeds, flour, sunflower oil"
Bele Dose (Lentil Dosa),"salt, yellow moong dal, arhar dal, rice, coconut, curry leaves, coriander leaves, onion, methi seeds, cumin seeds, green chillies, white urad dal"
Multa Black Arabic (Arabic Gravy Steele),"salt, red chilli powder, coriander leaves, colocasia root, sunflower oil"
Greek Bourekia (Potato and Leek Puffs),"salt, wheat flour, fennel seeds, milk, red chilli flakes, leek stalks, potato, turmeric powder, butter, sunflower oil"
Andhra Usirikaya Pachadi  Gooseberries Chutney),"salt, asafoetida, mustard seeds, amla, dry red chilli, green chillies, sunflower oil"
Gajar Halwa Barfi (Carrot Fudge),"khoya, ghee, milk, saffron strands, dry fruits garnsihing, carrot, sugar"
Lemon Pudina Curry Leaf Shikanji,"black salt, lemon juice squeezed, jaggery, water, curry leaves, cumin seeds, mint leaves"
Kashmiri Mutton Gogji Syun - Mutton & Turnip,"salt, ginger, mustard oil, asafoetida, fennel seeds, red chilli powder, mutton, turnips, turmeric powder"
Cheesy Chinese Bhel,"spring onion greens, cloves garlic, carrot, onion, sunflower oil, salt, britannia cheese garlic, green chilli, soy sauce, hakka noodles, green beans, peanuts, britannia cheese block, mint leaves, water, sweet chutney, sugar, ginger, green bell pepper, red chilli sauce, cabbage"
Whole Wheat Spinach Paratha,"salt, wheat flour, coriander leaves, spinach leaves, ajwain, cloves garlic, water, ghee, oil grease the pan, green chillies, sunflower oil"
Healthy Snack Bowl,"salt, corn kernels, coconut oil cold pressed, raisins, soy milk coconut milk almond milk, apple, maple syrup, cocoa powder, peanut butter smooth, walnuts"
Thonnai Idli (Dried Leaves Idli),"cashew nuts, salt, thonnai, ginger, sabudana, mustard seeds, ghee, asafoetida, idli rice, curry leaves, white urad dal, gingelly oil, methi seeds, cumin seeds, black pepper powder, chana dal, white urad dal"
Sweet Spinach Whole Wheat Muffin,"baking powder, wheat flour, bananas, spinach, eggs, pistachios, milk, virgin olive oil, baking soda, vanilla, cinnamon powder"
Crunchy Carrots In Hot Dogs Buns,"salt, orange, hung curd, mint leaves ground paste, spring onion greens, dog bread, virgin olive oil, carrot, orange juice, lemon, black pepper powder, coriander leaves loosely"
Chukku Kaapi - Dry Ginger Coffee,"salt, instant coffee powder, cardamom podsseeds, jaggery, water, dry ginger powder, cumin seeds, tulsi, black pepper powder"
Coconut Jaggery Burfi,"jaggery, ghee, cardamom powder, coconut"
Makki Ki Puri (Maize Flour Fried Bread),"salt, wheat flour, makki ka atta, ajwain, sunflower oil"
Vegetable Chops,"salt, cumin powder, ginger, corn flour, green peas, red chilli powder, carrot, water, onion, wheat bread crumbs, potato, sweet corn, beetroot, green chillies, sunflower oil"
Goli am - Mangalorean Vada,"baking powder, salt, ginger, rice flour, coconut, asafoetida, gram flour, curd, curry leaves, flour, green chillies, sunflower oil"
 Andhra Peanut Chutney,"tomato, salt, rye, cloves garlic, peanuts, curry leaves, dry red chillies, oil, white urad dal"
Andhra Zucchini Tomato Chutney,"tomato, salt, coriander leaves, mustard seeds, asafoetida, garlic pods, curry leaves, tamarind cranberry, dry red chillies, cumin seeds, green zucchini, green chillies, sunflower oil"
Sali Par Eedu - Parsi  Eggs On Fried Potato,"tomato, salt, eggs, coriander leaves, ghee, potato straws, black pepper powder"
 Jeera Aloo Sabzi  In Hindi),"turmeric powder, salt, curry leaves, oil, potatoes, green chillies, cumin seeds"
Moongphali Bhindi - Okra and Peanut Stir Fry,"salt, amchur, red chilli powder, peanuts ground, dry red chillies, onion, bhindi, coriander powder, turmeric powder, sunflower oil"
Murgh Musallam - Masala Roasted Chicken,"salt, black cardamom, ginger, sunflower oil, nutmeg, cardamom podsseeds, red chilli powder, cloves garlic, curd, coriander seeds, onion, cashew nuts water, cumin seeds, mace, black pepper powder, turmeric powder, cloves, chicken drumstick"
Vankaya Gasagasala Kura | Andhra Eggplant Poppy Seeds Curry,"salt, tamarind pulp, mustard seeds, brinjal, jaggery, red chilli powder, cloves garlic, poppy seeds, methi seeds, cumin seeds, coriander powder, turmeric powder, sunflower oil"
Carrots And Coriander Fritters,"salt, green chilli, coriander leaves, carrot, gram flour, sunflower oil brushing"
Kathiyawadi Shaak,"cumin powder, sunflower oil, coriander leaves, red chilli powder, cloves garlic, curd, onion, peanuts, coriander powder, turmeric powder, garam masala powder, green brinjal"
Pudalangai Thogayal (Snake Gourd Chutney),"green chillies, salt, ginger, chana dal, tamarind water, mustard seeds, red chilli powder, cloves garlic, snake gourd skin, curry leaves, white urad dal, cumin seeds, turmeric powder, sesame seeds"
Creamy Sweet Corn And Jalapeno Dip,"salt, virgin olive oil, jalapenos, parsley leaves, sweet corn, parmesan cheese, walnuts"
Bangkok Coconut Curry Noodle Bowl,"sesame oil, cloves garlic, carrot, palm jaggery, onion, stalks lemongrasswith outer leaves discarded, green zucchinisesame oil, turmeric powder, thai red chilli, sunflower oil, dry red chillies m, salt, green zucchini, coriander seeds, water, broccoli, coconut milk, ginger, stalks spring onion, rice noodles, basil leaves, spring onion"
Rajasthani Dal Muthia,"salt, yellow moong dal, wheat flour, coriander leaves, ghee, asafoetida, mustard seeds, ajwain, red chilli powder, water, dry red chillies, turmeric powder, green chillies, sunflower oil"
Dill Leaves & Parmesan Dip,"cashew nuts, salt, dill leaves, black pepper powder, curd, lemon, feta cheese, parmesan cheese, melon seeds"
Healthy Eggless Date Squares,"cashew nuts, salt, wheat flour, baking powder, milk, water, cardamom powder, brown sugar, dates black, flour, custard powder, sunflower oil"
Granola Yogurt Parfait with Fresh Kiwi & Pomegranates,"anardana powder, granola, vanilla, walnuts pecans, hung curd greek yogurt, kiwi"
High Fiber Oat And Orange Coconut Parfait,"orange, hung curd, coconut, water, vanilla, pomegranate fruit kernels, multigrain digestive biscuits, instant oats"
Dosakaya Pappu-Andhra Yellow Cucumber Dal,"tomato, salt, coriander, arhar dal, tamarind water, ghee, mustard seeds, asafoetida, red chilli powder, cloves garlic, curry leaves, dry red chillies, onion, mangalorean cucumber, cumin seeds, turmeric powder, green chillies"
Manganem - Goan Chana Dal Payasam,"cashew nuts, sabudana, ghee, jaggery, coconut milk, chana dal"
Bhogichi Bhaji (Bhogichi Bhaji),"turmeric powder, potato, green chillies, salt, avrekalu, plum remove stem, sesame powder bake, coriander leaves, green gram, eggsplants, asafoetida, mustard, goda masala, oil, lemon, large spoon peanut powder bake, carrot red, cumin seeds"
Rose Flavoured Golden Almond Milk - Badam Doodh,"cardamom podsseeds, milk, rose water, sugar, badam, turmeric powder"
Dal Tadka - Dal Tadka Flavored With Lemon And Coriander,"turmeric powder, salt, ginger, ghee, butter, coriander, bay leaf break, lemon, green chillies, cumin seeds, yellow moong dal"
Chicken Crepe Lasagne,"cheese, salt, wheat flour, boneless chicken, pizza pasta sauce, red chilli flakes, curd, red yellow green bell peppers, black pepper powder, dried oregano, sooji, spinach leaves, water make batter"
Drumstick Spinach Fry With Moong Dal,"salt, yellow moong dal, drumstick leaves, asafoetida, coconut, mustard seeds, curry leaves, dry red chillies, onion, cumin seeds, sambar powder, sunflower oil"
Irish Barmbrack,"baking powder, eggs, vivatta maida, brown sugar, whiskey, mixed dry fruits golden raisins, spice powder, tea decoction"
Kumro Patai Ilish Paturi - Hilsa Fish In Pumpkin Leaves,"yellow mustard seeds ground paste, pumpkin leaves, mustard oil, banana leaf, green chilli ground paste, poppy seeds ground paste, green chillies red chilli powder, turmeric powder, mustard seeds ground paste, hilsa fish"
Goan Mushroom Xacuti,"tomato, tamarind marble bal, salt, coconut, black peppercorns, coriander leaves, dry red chillies, onion, coriander seeds, button mushrooms, turmeric powder, cloves, garam masala powder, sunflower oil"
Chocolate Coconut Pistachio Bites (Paleo & Vegan),"cocoa powder, pistachios, almond butter peanut butter, vanilla, maple syrup, coconut"
Spinach Watermelon Salad With Walnuts,"salt, black grapes, black pepper powder, virgin olive oil, lemon, feta cheese, watermelon, spinach leaves, walnuts"
 Dondakkai Puli Curry,"turmeric powder, salt, tindora, black urad dal, mustard, dry red chillies, oil, tamarind paste, cumin seeds"
Corn Stuffed Paratha,"wheat flour, mango pickle pickle, green chilli, coriander leaves, salt the dough, potato, water, onion, sunflower oil rolling, sweet corn"
Kongunadu Urulai Kurma (Curried Potatoes from Kongunadu),"tomato, salt, ginger, sunflower oil ghee, bay leaf, fennel seeds, coconut, potato, black peppercorns, coriander leaves, dry red chillies, onion, garlic, cumin seeds, cinnamon stick, cloves, turmeric powder, chana dal"
Vietnamese Vegetarian Spring Rolls With Peanut Dipping Sauce,"coriander, red bell pepper, salt, sunflower oil, peanut butter, rice paper rolls, red chilli flakes, tofu paneer, soy sauce, carrot, red chilli flakes, lemon, peanuts, cucumber, mint leaves, red chilli sauce sriracha sauce, pepper"
Coconut Coconut Chili Powder - Mr. Coconut Chutney Bodi,"salt, chana dal, asafoetida, dry coconut, white urad dal, dry red chillies, sesame seeds, tamarind lemon"
 Kerala Beetroot Pachadi  In Hindi),"turmeric, salt, ginger, coconut, mustard, curd, curry leaves, dry red chillies, oil, red chilli, spoon cumin seeds, beetroot"
Puli Koozh - Rice Flour Porridge In Tamarind,"mustard seeds, asafoetida, idli rice, sesame oil, water, curry leaves, white urad dal, dry red chillies, tamarind, turmeric powder, chana dal"
Okra Idli (Ladyfinger Idli),"salt, sunflower oil, idli rice, methi seeds, cumin seeds, bhindi, green chillies, white urad dal"
Hoisin Tofu & Mushroom Stir Fry with homemade Hoisin Sauce,"corn flour, ginger, button mushrooms, water, cloves garlic, red chilli flakes, spring onion, hoisin sauce, tofu"
Mango Orange | Want semolina lighter | Mango Shir,"cashew nuts, ghee, mango, sugar, cardamom powder, sooji, water depending on the consistency you desire"
Thai Roasted Vegetables with Peanut Coconut Sauce,"coconut milk, salt, cumin powder, peanut butter, potato, cloves garlic, carrot, soy sauce, red chilli flakes, fennel powder, lemon, onion, lemon grass dried, brown sugar, basil leaves the curry, pepper, green zucchini, coconut oil, sweet potato"
Thai Coconut Garlic Rice,"salt, rice, water, cloves garlic, dry coconut, coriander leaves, coconut milk, coconut oil"
Sakkare Achhu (Festive Sugar Figurines),"milk, water, food color, curd, sugar"
Soya Pilaf / Pulav,"tomato, basmati rice, ajwain, black peppercorns, onion, soy, green chillies, mint leaves, salt, coriander, cardamom podsseeds, kewra water, raisins, lemon, star anise, red chilli powder, cashew nuts, bay leaves, ghee, ginger garlic paste, cinnamon stick, coriander powder, potato, cloves"
Vegetarian Grilled Gyros,"yellow bell pepper, tomato, red bell pepper, cucumber, salt, brinjal, mini pita breads tortilla instead pita bread, virgin olive oil, cloves garlic, yellow zucchini, lemon, black pepper powder, green bell pepper, green zucchini, red onion, tzatziki hummus, button mushrooms"
Andhra Kakarakaya Vepudu - Bitter Gourd Stir Fry,"coriander leaves, amchur, mustard seeds, jaggery, red chilli powder, curd, curry leaves, dry red chillies, onion, cumin seeds, karela tender, garlic, turmeric powder"
Buttered Mashed Potatoes - For Babies Over 7 months,"salt, potato, butter, black pepper powder"
Besan Aur Pyaz Ka Cheela - Roz Ka Khana With Figaro Olive Oil,"salt, coriander leaves, fennel seeds, figaro pure olive oil, gram flour, onion, green chutney, green chillies"
Vazhaithandu Mor Kootu (Tamil Nadu Banana Stem),"salt, green chilli, coconut, banana stem, mustard seeds, dry red chilli, curd, white urad dal, curry leaves, cumin seeds, buttermilk, rice flour, coconut oil"
Restaurant Chicken 65,"salt, red chilli powder, cloves garlic, gram flour, curd, sugar, cloves garlic pound paste, curry leaves, lemon, vinegar, black pepper powder, chicken breasts, turmeric powder, sunflower oil"
Spicy Mexican Layered Chilli Rice,"tomato, salt, cumin powder, rice, tabasco original sauce, mixed herbs, coriander leaves, red chilli powder, cloves garlic, virgin olive oil, red chilli flakes, rajma, butter"
Millet Pea Khichdi (Gluten Free ),"tomato, salt, yellow moong dal, coriander powder, mustard seeds, asafoetida, coriander leaves, potato, green peas, red chilli powder, carrot, ginger garlic paste, onion, cumin seeds, lemon, bajra flour, turmeric powder, garam masala powder, sunflower oil"
Quinoa With Grilled Zucchini & Chickpea,"tomato, salt, dill leaves, water, cloves garlic, spring onion, kabuli chana, virgin olive oil, green zucchini, green chillies, quinoa, dried oregano"
 Tomato Garlic Chutney  In Hindi),"tomato, salt, red chilli powder, cloves garlic, mustard, oil, green chillies"
Mango Sago Kheer - Sabudana Kheer With Mangoes,"mango, milk, water, nylon sabakki, sugar, badam silvered, cardamom powder"
Almond Elachi Kulfi,"pistachios, saffron strands, sugar, badam, cardamom powder, milk full fat"
Turmeric Amla Ginger Juice - Indonesian Jamu | Anti Inflammatory Health Tonic,"ginger, amla, turmeric root, water, black pepper powder"
Shorshe Maach - Bengali Mustard Fish Curry,"salt, green chilli, mustard oil, mustard seeds, red chilli powder, water, coriander leaves, yellow mustard seeds, lemon, turmeric powder, green chillies, seer fish hilsa fish"
Nagori Puri (Semolina Puri),"salt, wheat flour, ghee, water, cumin seeds, sooji, sunflower oil"
Sweet Boondi / Meethi Boondi,"water, baking soda, gram flour, sugar, yellow food colour, orange color, sunflower oil"
Sri Lankan Egg Curry,"tomato, curry powder sri lankan curry powder possible, salt, cardamom podsseeds, fennel seeds, onion ground, red chilli powder, black peppercorns, ginger garlic paste, curry leaves, curry leaves, coriander seeds, dry red chillies, cumin seeds, cinnamon stick, coconut milk, eggs, turmeric powder, cloves, sunflower oil"
Coorg Kulae Puttu- Puttu with Jackfruit & Jaggery,"rice rice rawa, salt, banana leaf cook, cardamom podsseeds, coconut, jaggery, jackfruit ripe"
Whole Moong Dal Vada,"salt, ginger, chana dal, asafoetida, cloves garlic, onion, green moong dal, green chillies, sunflower oil"
Palak Matar - Spinach And Green Peas Curry,"tomato, ginger, stalks spinach leaves, ghee, green peas, cloves garlic, red chilli powder, dry red chilli, onion, cumin seeds, coriander powder, garam masala powder, sunflower oil"
Atar Payesh (Sitaphal Kheer),"custard apple, heavy whipping cream, milk, sugar, cardamom powder"
Bengali Sheem Poshto - Flat Beans In Poppy Seeds,"salt, kalonji, green chilli, mustard oil, mustard seeds, potato skin, flat green beans, sugar, poppy seeds, turmeric powder"
Tomato Basil Risotto With Grilled Chicken,"tomato, salt, vegetable stock, kashmiri red chilli powder, virgin olive oil, basil leaves, curd, garlic, lemon, ginger paste, arborio rice, garam masala powder, garlic paste"
Stuffed Corn and Capsicum Paratha with Herbs,"salt, mixed herbs, red chilli flakes, baby corn, phulka, red yellow green bell peppers, onion, garlic, sunflower oil"
Kaleji Ka Faal-Mutton Liver Pepper Fry,"tomato, salt, mutton liver, coriander leaves, onion large, ginger garlic paste, black pepper powder, green chillies, sunflower oil"
Calzone/ Pocket Pizza/ Mc Puffs (With Baked Option),"tomato, salt, wheat flour, green beans, white pepper powder, cheese, sunflower oil, water, virgin olive oil, carrot, red chilli flakes, sugar, green bell pepper, onion, vinegar, black olives, sweet corn, dry yeast dry yeast, flour, dried oregano"
Besan Barfi,"khoya, gram flour, caster sugar, cardamom powder, ghee or ghee, oil, mixed nuts"
Crispy Palak Pakora - Monsoon Snack,"salt, ajwain, red chilli powder, chaat masala powder, gram flour, turmeric powder, spinach leaves, sunflower oil"
Creamy Mushroom Ravioli In Mint Mayo Sauce,"salt, ginger, milk, virgin olive oil, cloves garlic, del monte mint mayo, black pepper powder, button mushrooms, flour, butter"
Bengali Chingri Posto (Prawns In Poppy Seed Gravy),"salt, mustard oil, red chilli powder, onion, poppy seeds, turmeric powder, green chillies, potato cubes, prawns"
Prawn Fritters (Shrimp Vadai),"salt, ginger, green chilli, coconut, fennel seeds, coriander leaves, red chilli powder, cloves garlic, curry leaves spring, onion, rice flour, turmeric powder, prawns, sunflower oil"
Grape Wright,"salt, cumin powder, mint leaves leaves, green seedless grapes two halves, red chilli powder, curd, sugar"
Mexican Vegetable Fajita,"yellow bell pepper, salt, red bell pepper, cumin powder, paprika powder, corn flour tortilla, virgin olive oil, cloves garlic, onion, green bell pepper, button mushrooms"
Awadhi Moong Dal Ki Goli - Lentil Dumplings In Tomato Gravy,"tomato, salt, ginger, green chilli, coriander leaves, anardana powder, red chilli powder, ginger garlic paste, onion, garlic, green moong dal, turmeric powder, garam masala powder, sunflower oil"
High Protein Chickpea Potato Hash Brown,"salt, cumin powder, eggs, kabuli chana, lemon, black pepper powder, potato, wheat bread crumbs, butter"
Mughalai Shahi Kaju Aloo Ki Sabzi,"salt, ginger, bay leaf, coriander leaves, milk, cumin seeds black, red chilli powder, water, curd, garlic, onion, turmeric powder, potato, cashew nuts glass water, garam masala powder, sunflower oil"
Kasuri Malai Murgh Tikka,"ajwain, black peppercorns ground, cloves garlic, onion, turmeric powder, sunflower oil, salt, black cardamom, cardamom podsseeds, mace, cauliflower, red chilli powder, curd, chicken, kasuri methi, ginger, bay leaf, cashew nuts paste, cinnamon stick, coriander powder, cloves"
Baked Penne Pasta With Roasted Peppers In Marinara Sauce,"tomato, salt, red bell pepper, penne pasta, red chilli powder, cloves garlic, virgin olive oil, water, mozzarella cheese, sugar, stalks parsley leaves, green bell pepper, dried oregano"
Kodava Ellu Pajji - Sesame & Tamarind Chutney,"salt, coconut, mustard seeds, jaggery, pearl onion, curry leaves, dry red chillies, tamarind, coconut oil, sesame seeds"
Zucchini Pancake With Tomato Salsa,"baking powder, wheat flour, salt, curd, tomato salsa, pepper, green zucchini, green chillies, oats flour, sunflower oil"
Fried Artichokes Flavored With Lemon & Ginger,"salt, ginger, eggs, cloves garlic, parsley, sugar, lemon, wheat bread crumbs, sunflower oil enough, parmesan cheese, flour, artichokes tinned artichokes Chicken Curry,"tomato, salt, ginger, red chilli powder, cloves garlic, water, curry leaves, onion, turmeric powder, coriander powder, chicken breasts, coconut oil, garam masala powder"
Utanki - Crispy Rice Crepes,"sugar, rice flour, milk, sunflower oil"
Masala Pav With Cheese,"tomato, salt, red bell pepper, ginger, pav bhaji masala, coriander leaves, sev, ghee, coriander leaves, mozzarella cheese, cloves garlic, sweet chutney, onion, pav buns, potato, turmeric powder, green chutney, butter, garam masala powder"
Barley Rava Idli,"salt, green chilli, barley, mustard seeds, curd, white urad dal, sooji, enos fruit salt, chana dal, water needed, sunflower oil"
Mooli And Moong Dal Sabji,"salt, mustard seeds, asafoetida, mooli ke patte, cloves garlic, sugar, cumin seeds, turmeric powder, mooli mullangi, green chillies, yellow moong dal water, sunflower oil"
Mangalorean Chicken Ghee Roast,"salt, ghee, jaggery, black peppercorns, cloves garlic, curd, curry leaves, dry red chillies, coriander seeds, lemon, methi seeds, cumin seeds, tamarind paste, chicken breasts, turmeric powder, cloves"
Karnataka Sandige Huli (Toor dal dumplings in Gravy),"salt, arhar dal, green chilli, tamarind water, coconut, asafoetida, ghee, jaggery, cloves garlic, curry leaves, white urad dal, turmeric powder"
Vegetable Tartlets,"salt, green beans, salt using unsalted butter, milk, water cold, basil leaves, black peppercorns, carrot, parsley leaves, eggs, tme leaves, dried oregano, green bell pepper, flour, cherry tomato, butter, ricotta cheese malai paneer"
Lu Methi Vegetable - Own Fangrik Layaves Vegetable,"salt, ginger, amchur, bay leaf, methi leaves, red chilli powder, cloves garlic, onion, cumin seeds, cinnamon stick, baby potatoes, coriander powder, turmeric powder, garam masala powder, sunflower oil"
Yele Kadubu With Sweet And Spicy Onion Chutney,"salt, wheat flour, ghee, jaggery, water, cloves garlic, dry red chillies, methi seeds, tamarind paste, red onion, sunflower oil"
Red Bean Mexican Burrito Bowl - Roz Ka Khana With Figaro Olive Oil,"tomato, cumin powder, virgin olive oil drizzling, cloves garlic, virgin olive oil, onion, rajma, green chillies, salt, red bell pepper, avocado, rice, red chilli powder, parsley leaves, sugar, hung curd, tabasco original sauce, figaro pure olive oil, red chilli flakes, coriander leaves, green bell pepper"
Mulyachi Bhaji - Goan Mooli Ki Sabzi,"mooli mullangi including greens, yellow moong dal, salt, coconut, jaggery, water, green chillies split verticy"
Spicy Chickpeas Aloo Salad Chaat,"tomato, black salt, green chilli, potato, chaat masala powder, kabuli chana, onion, lemon, black pepper powder, gram coriander leaves"
Bulgur Wheat Potato Patty,"salt, cumin powder, ginger, bulgur wheat, cauliflower, red chilli powder, cloves garlic, carrot, flour, potato, green chillies, instant oats, sunflower oil"
Mujaddara (Traditional Middle Eastern Rice),"salt, bay leaf, red onion but evenly, pine nuts raisins, red chilli powder, black peppercorns, virgin olive oil, lemon from large lemon, cumin seeds, rice grain, coriander powder, masoor dal"
Spinach Corn & Cheese Momo,"salt, water knead, mixed herbs, black pepper powder, virgin olive oil, cloves garlic, red chilli flakes, sweet corn, britannia cheese block, flour, spinach leaves"
Beans Matki Bhaji - Green Beans Moth Beans Sabzi,"salt, green beans, mustard seeds, ghee, asafoetida, coconut, jaggery, red chilli powder, moth dal sprouted, amchur kokum, curry leaves, cumin seeds, maharashtrian goda masala, turmeric powder"
Kerala Chena Mezhukkupuratty - Yam Stir Fry,"mustard seeds, fennel seeds pound, red chilli powder, cloves garlic, elephant yam cubes, curry leaves, pearl onion, coconut oil, black pepper powder, turmeric powder"
Ragi Appam - A Healthy Twist To The Kerala Appam,"confectirs sugar, salt, ragi seeds, rice, idli rice, red poha, white urad dal, yellow fenugreek seeds"
Vegan Malai Cabbage,"salt, ginger, green chilli, bay leaf, cauliflower, cloves garlic, cashew nuts ground paste, onion, kasuri methi, cardamom powder, black pepper powder, coconut milk, cloves, garam masala powder, sunflower oil"
Besan Chila Stuffed with Chatap Paneer,"salt, cumin powder, paneer, chaat masala powder, gram flour, coriander leaves, onion, green chillies, sunflower oil"
Protein Fingers,"salt, cumin powder, sage, paprika powder, onion powder, red chilli powder, virgin olive oil, paneer shape finger snack, chicken bless skinless breast piece angular, garlic, garlic powder, lemon, black pepper powder, tofu, dried oregano"
Baked Chevdo (Chivda Mixture -Tea Time Snack),"green chillies, salt, asafoetida, raisins, red chilli powder, poha the super flat variety, curry leaves, sugar, sunflower oil roasting, almonds, turmeric powder, peanuts without skin, sesame seeds"
Spicy Chettinad Fish Fry,"tomato, salt, seer fish steaks, mustard seeds, fennel seeds, red chilli powder, cloves garlic, black peppercorns, ginger garlic paste, curry leaves, coriander seeds, cumin seeds, lemon, tamarind, turmeric powder, sunflower oil"
Khatti Meethi Palak Khichdi,"tomato, salt, ginger, arhar dal, rice, mustard seeds, ghee, bay leaf, asafoetida, jaggery, red chilli powder, spinach, cinnamon stick, cumin seeds, lemon, ghee be ed after khichdi, turmeric powder"
Spaghetti Arrabiata Pasta - Spicy Italian Pasta,"tomato, salt, cloves garlic, basil leaves, virgin olive oil, red chilli flakes, spaghetti pasta, sugar, onion, pepper, parmesan cheese"
Pheki Mathri - Crispy Fried Savoury Fritters,"flour, water, chiroti rava, ghee"
Red Capsicum Chutney - Red Bell Pepper Chutney,"tomato, salt, red bell pepper, mustard seeds, cloves garlic, pearl onion, white urad dal, dry red chillies, curry leaves, sunflower oil"
Kabuli Chana & Moongphali Salad,"tomato, salt, green chilli, amchur, boiled peanuts, red chilli powder, kabuli chana, coriander leaves, dry ginger powder, onion, lemon, green bell pepper"
Mushroom Masala With Corn,"salt, cumin powder, ginger, corn flour, coriander powder, amchur, coriander leaves, red chilli powder, cloves garlic, dry red chillies, onion, sweet corn, button mushrooms, turmeric powder, green chillies, sunflower oil"
Poha Stars (Poha Potato Fritters Flavoured With Kasuri Methi),"salt, coriander leaves, poha, potato, red chilli powder, kasuri methi, wheat bread crumbs, lemon, rice flour, green chillies, sunflower oil"
Apple And Pomegranate Smoothie,"ice cubes, anardana powder, curd, apple"
Lahsuni Palak Dal (Spinach & Lentil Curry with Garlic),"salt, yellow moong dal, cumin powder, ghee, red chilli powder, cloves garlic, cumin seeds, turmeric powder, spinach leaves, sunflower oil"
Healthy Oats And Nuts Energy Bar,"salt, pretzels, dates, badam, dry coconut flakes, almonds, pecans, coconut oil, instant oats"
Lauki and Whole Green Moong Dal Cheela,"salt, ginger, rice flour, coriander leaves, asafoetida, water, bottle gourd, green moong dal, green chillies, sunflower oil"
Spinach Coconut Zucchini Soup,"salt, cumin powder, green zucchini cubes, spinach, bread cubes, cloves garlic, virgin olive oil, black peppercorns, water, onion, coconut milk, coconut oil"
Whole Wheat Sun Dried Tomato Focaccia Bread | Healthy Homemade Bread,"salt, wheat flour, rosemary, sun dried tomato, black peppercorns, dry yeast, virgin olive oil, water, onion, parmesan cheese, flour, dried oregano"
Cheese Tarts,"salt, butter salted unsalted, cheese you find difficult get, corn flour, eggs, milk, butterof butter, mozzarella cheese, cheese you can do take paneer salt grind mixer, vivatta maida, sugar, packet britannia, vanilla, lemon, eggs, milk powder, icing sugar, butter"
Spinach Oats Vada,"salt, corn flour, garam masala powder, asafoetida, potato, red chilli powder, spinach leaves packed, onion, coriander powder, turmeric powder, chana dal, instant oats, sunflower oil"
Rajasthani Papad Ki Sabzi,"tomato, salt, ginger, papad, green chilli, asafoetida, ghee, red chilli powder, cloves garlic, curd, coriander leaves, coriander powder, turmeric powder, kasuri methi, cumin seeds"
Kandarappam (Chettinad Sweet Appam),"salt, yellow moong dal, arhar dal, rice, coconut, jaggery, white urad dal, cardamom powder, rice, chana dal, water grinding"
Spinach & Broad Bean Shakshuka,"tomato, salt, cumin powder, sunflower oil, red chilli powder, cloves garlic, sugar, onion, broccoli, thyme leaves, avarekai, eggs, spinach leaves, dried oregano"
Raw Mango Prawns Curry,"ginger, cardamom podsseeds, coconut, red chilli powder, cloves garlic, mango, curry leaves, cinnamon stick, vinegar, lemon, onion, coconut milk, turmeric powder, prawns de shelled"
Corn And Drumstick Leaves Salad,"salt, del monte corn kernels, mustard seeds, drumstick leaves, jaggery, red chilli powder, water, cumin seeds, turmeric powder, sunflower oil"
Slow Cooker Mexican Chicken Stew,"tomato, salt, cumin powder, coriander leaves, black beans, chicken stock, red chilli powder, chicken thighs, carrot, onion, lemon, sweet corn, green bell pepper, pepper"
Dairy Free Balsamic Strawberry Ice-cream,"cashew nuts, salt, corn flour arrowroot powder, maple syrup, strawberries, vanilla, coconut milk, balsamic vinegar"
Herb Mushroom Bruschetta,"salt, mint leaves bunch, cloves garlic, baguette, lemon, pepper, button mushrooms, cherry tomato"
Maharashtrian Surnachi Koshimbir-Yam Salad,"salt, elephant yam, coconut, mustard seeds, asafoetida, coriander leaves, sugar, onion, lemon, green chillies, sunflower oil"
Orange Rasam,"tomato, salt, cumin powder, arhar dal, mustard seeds, asafoetida, ghee, coriander leaves, red chilli powder, cloves garlic, curry leaves, orange juice, cumin seeds, black pepper powder, coriander powder, turmeric powder, lemon from"
